Symbol,Date,Expiry,Change in OI,Open Interest,Number of Contracts,CE Open,CE High,CE Low,CE Close,Strike Price,Underlying,PE Strike Price,PE Open,PE High,PE Low,PE Close,PE Number of Contracts,PE Change in OI,PE Open Interest
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,66.7,100.0,174.3,245.0,0.0,0.0,0.0,64.0,0,0,2600
DLF,2019-04-26,2019-05-30,0,62400,1,0.3,0.3,0.3,0.3,240.0,174.3,135.0,0.0,0.0,0.0,2.95,0,0,0
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,1.75,235.0,174.3,240.0,0.0,0.0,0.0,62.0,0,0,10400
DLF,2019-04-26,2019-05-30,54600,98800,26,0.4,0.5,0.4,0.5,230.0,174.3,130.0,0.0,0.0,0.0,2.1,0,0,0
DLF,2019-04-26,2019-05-30,0,5200,1,0.5,0.5,0.5,0.5,225.0,174.3,235.0,0.0,0.0,0.0,57.0,0,0,7800
DLF,2019-04-26,2019-05-30,49400,88400,69,1.05,1.05,0.65,0.75,220.0,174.3,165.0,4.1,5.1,4.1,4.75,108,85800,132600
DLF,2019-04-26,2019-05-30,2600,10400,1,1.0,1.0,1.0,1.0,215.0,174.3,230.0,0.0,0.0,0.0,52.5,0,0,10400
DLF,2019-04-26,2019-05-30,111800,262600,76,1.25,1.35,1.15,1.25,210.0,174.3,115.0,0.0,0.0,0.0,0.6,0,0,0
DLF,2019-04-26,2019-05-30,23400,44200,33,2.05,2.1,1.45,1.65,205.0,174.3,225.0,0.0,0.0,0.0,58.05,0,0,0
DLF,2019-04-26,2019-05-30,161200,715000,649,3.15,3.2,2.1,2.25,200.0,174.3,220.0,43.0,43.0,43.0,43.0,1,2600,39000
DLF,2019-04-26,2019-05-30,59800,254800,140,4.3,4.3,2.95,3.1,195.0,174.3,160.0,2.9,3.7,2.9,3.35,228,122200,353600
DLF,2019-04-26,2019-05-30,709800,1027000,624,5.6,5.6,3.8,4.25,190.0,174.3,125.0,0.0,0.0,0.0,1.45,0,0,0
DLF,2019-04-26,2019-05-30,119600,195000,156,7.65,7.65,5.0,5.65,185.0,174.3,215.0,0.0,0.0,0.0,36.55,0,0,5200
DLF,2019-04-26,2019-05-30,343200,473200,438,9.6,9.6,6.6,7.45,180.0,174.3,155.0,2.3,2.5,2.25,2.4,19,18200,31200
DLF,2019-04-26,2019-05-30,109200,174200,88,11.55,11.55,8.8,9.85,175.0,174.3,210.0,0.0,0.0,0.0,33.75,0,0,5200
DLF,2019-04-26,2019-05-30,62400,93600,33,13.1,13.95,11.75,11.85,170.0,174.3,100.0,0.0,0.0,0.0,0.1,0,0,0
DLF,2019-04-26,2019-05-30,2600,5200,1,15.5,15.5,15.5,15.5,165.0,174.3,205.0,0.0,0.0,0.0,30.0,0,0,2600
DLF,2019-04-26,2019-05-30,0,26000,2,20.8,20.8,17.8,17.8,160.0,174.3,150.0,1.95,1.95,1.5,1.65,56,78000,114400
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,21.35,155.0,174.3,200.0,25.0,27.0,24.25,25.9,14,10400,176800
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,24.4,150.0,174.3,195.0,21.95,22.0,21.95,22.0,2,-5200,15600
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,27.75,145.0,174.3,145.0,0.0,0.0,0.0,5.35,0,0,0
DLF,2019-04-26,2019-05-30,0,5200,0,0.0,0.0,0.0,40.0,140.0,174.3,110.0,0.0,0.0,0.0,0.35,0,0,0
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,35.15,135.0,174.3,190.0,17.75,18.45,17.75,18.25,10,-2600,296400
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,39.2,130.0,174.3,140.0,0.0,0.0,0.0,4.0,0,0,0
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,43.45,125.0,174.3,185.0,13.5,14.85,13.5,14.85,6,15600,33800
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,47.85,120.0,174.3,120.0,0.0,0.0,0.0,0.95,0,0,0
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,52.45,115.0,174.3,180.0,10.15,12.05,10.15,11.5,118,135200,371800
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,57.1,110.0,174.3,105.0,0.0,0.0,0.0,0.2,0,0,0
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,61.85,105.0,174.3,175.0,7.7,9.4,7.7,8.85,155,78000,221000
DLF,2019-04-26,2019-05-30,0,0,0,0.0,0.0,0.0,0.85,245.0,174.3,170.0,5.65,7.0,5.65,6.55,284,228800,325000
DLF,2019-04-30,2019-05-30,5200,267800,91,1.1,1.1,0.8,1.05,210.0,172.75,240.0,0.0,0.0,0.0,62.0,0,0,10400
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,66.7,100.0,172.75,235.0,0.0,0.0,0.0,57.0,0,0,7800
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,0.85,245.0,172.75,230.0,0.0,0.0,0.0,52.5,0,0,10400
DLF,2019-04-30,2019-05-30,7800,13000,5,12.15,13.65,11.5,13.65,165.0,172.75,225.0,0.0,0.0,0.0,58.05,0,0,0
DLF,2019-04-30,2019-05-30,-2600,41600,23,1.35,1.5,1.1,1.45,205.0,172.75,220.0,0.0,0.0,0.0,43.0,0,0,39000
DLF,2019-04-30,2019-05-30,28600,54600,17,15.5,17.0,14.7,17.0,160.0,172.75,215.0,0.0,0.0,0.0,36.55,0,0,5200
DLF,2019-04-30,2019-05-30,0,5200,0,0.0,0.0,0.0,0.5,225.0,172.75,210.0,0.0,0.0,0.0,33.75,0,0,5200
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,21.35,155.0,172.75,205.0,0.0,0.0,0.0,30.0,0,0,2600
DLF,2019-04-30,2019-05-30,20800,20800,9,21.8,25.0,21.8,24.05,150.0,172.75,200.0,29.1,32.8,27.15,28.5,13,-5200,171600
DLF,2019-04-30,2019-05-30,20800,735800,234,2.05,2.35,1.5,1.95,200.0,172.75,195.0,0.0,0.0,0.0,22.0,0,0,15600
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,1.75,235.0,172.75,190.0,20.3,23.3,19.95,20.0,10,5200,301600
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,27.75,145.0,172.75,185.0,18.95,19.35,17.0,17.0,6,5200,39000
DLF,2019-04-30,2019-05-30,-26000,228800,91,2.95,2.95,2.15,2.65,195.0,172.75,180.0,13.75,15.9,12.4,12.9,55,5200,377000
DLF,2019-04-30,2019-05-30,0,5200,0,0.0,0.0,0.0,40.0,140.0,172.75,175.0,9.9,13.1,9.35,9.7,66,-2600,218400
DLF,2019-04-30,2019-05-30,33800,122200,42,0.55,0.6,0.5,0.6,220.0,172.75,170.0,6.3,10.25,6.2,7.3,437,33800,358800
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,35.15,135.0,172.75,165.0,4.9,7.8,4.9,5.35,231,39000,171600
DLF,2019-04-30,2019-05-30,-10400,1016600,406,4.1,4.1,2.8,3.7,190.0,172.75,160.0,3.4,5.85,3.4,3.95,486,-39000,314600
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,39.2,130.0,172.75,155.0,2.95,4.25,2.65,2.75,57,18200,49400
DLF,2019-04-30,2019-05-30,7800,70200,3,0.3,0.3,0.3,0.3,240.0,172.75,150.0,2.1,3.1,1.8,1.9,244,182000,296400
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,43.45,125.0,172.75,145.0,0.0,0.0,0.0,5.35,0,0,0
DLF,2019-04-30,2019-05-30,36400,231400,232,5.35,5.4,3.8,5.1,185.0,172.75,140.0,0.0,0.0,0.0,4.0,0,0,0
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,47.85,120.0,172.75,135.0,0.4,0.4,0.4,0.4,1,2600,2600
DLF,2019-04-30,2019-05-30,2600,13000,1,0.6,0.6,0.6,0.6,215.0,172.75,130.0,0.0,0.0,0.0,2.1,0,0,0
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,52.45,115.0,172.75,125.0,0.0,0.0,0.0,1.45,0,0,0
DLF,2019-04-30,2019-05-30,202800,676000,675,7.55,7.55,5.05,6.7,180.0,172.75,120.0,0.0,0.0,0.0,0.95,0,0,0
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,57.1,110.0,172.75,115.0,0.0,0.0,0.0,0.6,0,0,0
DLF,2019-04-30,2019-05-30,10400,109200,4,0.35,0.35,0.35,0.35,230.0,172.75,110.0,0.0,0.0,0.0,0.35,0,0,0
DLF,2019-04-30,2019-05-30,0,0,0,0.0,0.0,0.0,61.85,105.0,172.75,105.0,0.0,0.0,0.0,0.2,0,0,0
DLF,2019-04-30,2019-05-30,83200,257400,490,9.85,9.85,6.75,8.75,175.0,172.75,245.0,0.0,0.0,0.0,64.0,0,0,2600
DLF,2019-04-30,2019-05-30,88400,182000,228,11.45,11.75,8.75,11.25,170.0,172.75,100.0,0.0,0.0,0.0,0.1,0,0,0
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,0.85,245.0,171.85,245.0,0.0,0.0,0.0,64.0,0,0,2600
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,47.85,120.0,171.85,120.0,0.0,0.0,0.0,0.95,0,0,0
DLF,2019-05-02,2019-05-30,0,5200,2,0.5,0.5,0.45,0.45,225.0,171.85,220.0,0.0,0.0,0.0,43.0,0,0,39000
DLF,2019-05-02,2019-05-30,10400,119600,4,0.4,0.4,0.4,0.4,230.0,171.85,225.0,0.0,0.0,0.0,58.05,0,0,0
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,1.75,235.0,171.85,230.0,0.0,0.0,0.0,52.5,0,0,10400
DLF,2019-05-02,2019-05-30,7800,78000,3,0.35,0.35,0.35,0.35,240.0,171.85,235.0,0.0,0.0,0.0,57.0,0,0,7800
DLF,2019-05-02,2019-05-30,10400,239200,30,2.45,3.45,2.3,2.6,195.0,171.85,240.0,0.0,0.0,0.0,62.0,0,0,10400
DLF,2019-05-02,2019-05-30,83200,819000,196,1.75,2.55,1.7,1.85,200.0,171.85,185.0,15.2,16.15,15.2,16.15,3,0,39000
DLF,2019-05-02,2019-05-30,2600,44200,29,1.5,1.8,1.3,1.35,205.0,171.85,190.0,21.1,21.1,18.4,19.95,15,15600,317200
DLF,2019-05-02,2019-05-30,161200,429000,106,1.25,1.3,0.85,0.9,210.0,171.85,195.0,0.0,0.0,0.0,22.0,0,0,15600
DLF,2019-05-02,2019-05-30,2600,15600,4,0.9,0.95,0.75,0.75,215.0,171.85,200.0,26.8,26.8,26.8,26.8,4,0,171600
DLF,2019-05-02,2019-05-30,78000,335400,167,8.05,10.6,7.65,8.65,175.0,171.85,205.0,0.0,0.0,0.0,30.0,0,0,2600
DLF,2019-05-02,2019-05-30,78000,754000,782,6.2,8.25,5.55,6.5,180.0,171.85,210.0,0.0,0.0,0.0,33.75,0,0,5200
DLF,2019-05-02,2019-05-30,59800,291200,376,11.95,11.95,4.2,5.0,185.0,171.85,160.0,4.05,5.0,3.5,4.35,203,70200,384800
DLF,2019-05-02,2019-05-30,41600,1058200,658,3.5,4.7,3.1,3.65,190.0,171.85,165.0,5.95,6.75,5.0,5.9,177,0,171600
DLF,2019-05-02,2019-05-30,0,20800,0,0.0,0.0,0.0,24.05,150.0,171.85,170.0,7.7,9.0,6.6,7.95,500,15600,374400
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,21.35,155.0,171.85,175.0,11.2,11.3,8.65,10.5,93,31200,249600
DLF,2019-05-02,2019-05-30,33800,88400,17,15.7,19.75,15.7,17.7,160.0,171.85,180.0,13.75,14.5,11.5,13.3,46,46800,423800
DLF,2019-05-02,2019-05-30,5200,18200,4,13.0,15.9,13.0,14.65,165.0,171.85,125.0,0.0,0.0,0.0,1.45,0,0,0
DLF,2019-05-02,2019-05-30,23400,205400,73,10.75,13.45,9.6,11.15,170.0,171.85,130.0,0.4,0.4,0.4,0.4,1,2600,2600
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,43.45,125.0,171.85,135.0,0.0,0.0,0.0,0.4,0,0,2600
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,39.2,130.0,171.85,140.0,0.9,0.9,0.9,0.9,1,2600,2600
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,35.15,135.0,171.85,145.0,0.0,0.0,0.0,5.35,0,0,0
DLF,2019-05-02,2019-05-30,0,5200,0,0.0,0.0,0.0,40.0,140.0,171.85,150.0,2.0,2.5,1.7,2.2,104,20800,317200
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,27.75,145.0,171.85,155.0,3.05,3.5,2.6,3.1,26,5200,54600
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,66.7,100.0,171.85,100.0,0.0,0.0,0.0,0.1,0,0,0
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,61.85,105.0,171.85,105.0,0.0,0.0,0.0,0.2,0,0,0
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,57.1,110.0,171.85,110.0,0.0,0.0,0.0,0.35,0,0,0
DLF,2019-05-02,2019-05-30,0,0,0,0.0,0.0,0.0,52.45,115.0,171.85,115.0,0.0,0.0,0.0,0.6,0,0,0
DLF,2019-05-02,2019-05-30,52000,174200,28,0.65,0.65,0.4,0.5,220.0,171.85,215.0,0.0,0.0,0.0,36.55,0,0,5200
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,0.85,245.0,177.95,215.0,36.35,36.35,36.35,36.35,1,0,5200
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,52.45,115.0,177.95,125.0,0.0,0.0,0.0,1.45,0,0,0
DLF,2019-05-03,2019-05-30,5200,10400,2,0.7,0.7,0.7,0.7,225.0,177.95,225.0,0.0,0.0,0.0,58.05,0,0,0
DLF,2019-05-03,2019-05-30,15600,135200,28,0.4,0.7,0.4,0.65,230.0,177.95,230.0,0.0,0.0,0.0,52.5,0,0,10400
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,1.75,235.0,177.95,235.0,0.0,0.0,0.0,57.0,0,0,7800
DLF,2019-05-03,2019-05-30,15600,93600,8,0.35,0.4,0.35,0.4,240.0,177.95,240.0,0.0,0.0,0.0,62.0,0,0,10400
DLF,2019-05-03,2019-05-30,15600,254800,106,2.9,4.9,2.85,4.8,195.0,177.95,245.0,0.0,0.0,0.0,64.0,0,0,2600
DLF,2019-05-03,2019-05-30,197600,1016600,584,2.1,3.75,2.05,3.6,200.0,177.95,185.0,15.25,15.25,13.1,13.8,7,0,39000
DLF,2019-05-03,2019-05-30,18200,62400,75,1.5,2.85,1.5,2.7,205.0,177.95,190.0,18.5,18.8,16.4,16.4,7,-2600,314600
DLF,2019-05-03,2019-05-30,44200,473200,177,1.1,2.15,1.1,2.05,210.0,177.95,195.0,19.5,20.9,19.5,20.6,3,2600,18200
DLF,2019-05-03,2019-05-30,23400,39000,16,0.4,1.9,0.4,1.85,215.0,177.95,200.0,0.0,0.0,0.0,26.8,0,0,171600
DLF,2019-05-03,2019-05-30,-26000,179400,70,12.1,15.85,12.1,14.8,170.0,177.95,205.0,0.0,0.0,0.0,30.0,0,0,2600
DLF,2019-05-03,2019-05-30,-117000,218400,187,9.0,13.0,8.8,12.4,175.0,177.95,210.0,0.0,0.0,0.0,33.75,0,0,5200
DLF,2019-05-03,2019-05-30,78000,832000,1176,6.85,10.35,6.6,9.9,180.0,177.95,160.0,4.1,4.15,3.1,3.35,246,169000,553800
DLF,2019-05-03,2019-05-30,80600,371800,355,5.0,8.2,5.0,7.9,185.0,177.95,165.0,5.15,5.65,4.35,4.8,226,166400,338000
DLF,2019-05-03,2019-05-30,179400,1237600,714,3.95,6.4,3.6,6.1,190.0,177.95,170.0,7.85,7.85,5.85,6.45,392,10400,384800
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,27.75,145.0,177.95,175.0,9.45,9.85,8.0,8.5,200,23400,273000
DLF,2019-05-03,2019-05-30,0,20800,0,0.0,0.0,0.0,24.05,150.0,177.95,180.0,12.05,12.2,10.1,11.05,40,44200,468000
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,21.35,155.0,177.95,130.0,0.0,0.0,0.0,0.4,0,0,2600
DLF,2019-05-03,2019-05-30,0,88400,0,0.0,0.0,0.0,17.7,160.0,177.95,135.0,0.65,0.65,0.65,0.65,1,2600,5200
DLF,2019-05-03,2019-05-30,-5200,13000,5,16.4,18.5,16.2,18.5,165.0,177.95,140.0,1.0,1.0,1.0,1.0,4,7800,10400
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,47.85,120.0,177.95,145.0,1.3,1.3,1.3,1.3,1,2600,2600
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,43.45,125.0,177.95,150.0,2.0,2.15,1.5,1.7,122,41600,358800
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,39.2,130.0,177.95,155.0,2.65,2.9,2.25,2.35,39,28600,83200
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,35.15,135.0,177.95,100.0,0.0,0.0,0.0,0.1,0,0,0
DLF,2019-05-03,2019-05-30,0,5200,0,0.0,0.0,0.0,40.0,140.0,177.95,105.0,0.0,0.0,0.0,0.2,0,0,0
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,66.7,100.0,177.95,110.0,0.0,0.0,0.0,0.35,0,0,0
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,61.85,105.0,177.95,115.0,0.0,0.0,0.0,0.6,0,0,0
DLF,2019-05-03,2019-05-30,0,0,0,0.0,0.0,0.0,57.1,110.0,177.95,120.0,0.0,0.0,0.0,0.95,0,0,0
DLF,2019-05-03,2019-05-30,2600,176800,134,0.6,1.25,0.6,1.2,220.0,177.95,220.0,41.75,41.75,41.75,41.75,1,2600,41600
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,0.85,245.0,173.9,245.0,0.0,0.0,0.0,64.0,0,0,2600
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,47.85,120.0,173.9,125.0,0.0,0.0,0.0,1.45,0,0,0
DLF,2019-05-06,2019-05-30,0,10400,0,0.0,0.0,0.0,0.7,225.0,173.9,225.0,0.0,0.0,0.0,58.05,0,0,0
DLF,2019-05-06,2019-05-30,10400,145600,14,0.55,0.6,0.5,0.5,230.0,173.9,230.0,0.0,0.0,0.0,52.5,0,0,10400
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,1.75,235.0,173.9,235.0,0.0,0.0,0.0,57.0,0,0,7800
DLF,2019-05-06,2019-05-30,15600,109200,9,0.3,0.4,0.3,0.35,240.0,173.9,240.0,0.0,0.0,0.0,62.0,0,0,10400
DLF,2019-05-06,2019-05-30,-15600,239200,87,4.2,4.75,3.7,3.85,195.0,173.9,190.0,0.0,0.0,0.0,16.4,0,0,314600
DLF,2019-05-06,2019-05-30,62400,1079000,379,3.6,3.65,2.75,2.95,200.0,173.9,195.0,0.0,0.0,0.0,20.6,0,0,18200
DLF,2019-05-06,2019-05-30,-5200,57200,6,2.75,2.75,2.0,2.25,205.0,173.9,200.0,25.25,25.25,25.25,25.25,1,0,171600
DLF,2019-05-06,2019-05-30,5200,478400,136,1.9,2.05,1.5,1.65,210.0,173.9,205.0,0.0,0.0,0.0,30.0,0,0,2600
DLF,2019-05-06,2019-05-30,7800,46800,5,1.2,1.25,1.15,1.2,215.0,173.9,210.0,0.0,0.0,0.0,33.75,0,0,5200
DLF,2019-05-06,2019-05-30,-10400,169000,23,13.45,14.5,12.7,13.1,170.0,173.9,215.0,0.0,0.0,0.0,36.35,0,0,5200
DLF,2019-05-06,2019-05-30,85800,304200,99,11.0,12.15,10.05,10.65,175.0,173.9,160.0,4.3,4.95,3.7,4.8,257,137800,691600
DLF,2019-05-06,2019-05-30,88400,920400,491,8.8,9.95,8.0,8.35,180.0,173.9,165.0,5.0,6.65,4.95,6.4,157,54600,392600
DLF,2019-05-06,2019-05-30,67600,439400,280,7.0,7.9,6.25,6.6,185.0,173.9,170.0,8.0,8.65,6.9,8.4,239,-2600,382200
DLF,2019-05-06,2019-05-30,330200,1567800,586,5.25,6.15,4.8,5.15,190.0,173.9,175.0,10.15,11.15,9.05,10.8,104,2600,275600
DLF,2019-05-06,2019-05-30,0,20800,0,0.0,0.0,0.0,24.05,150.0,173.9,180.0,11.9,14.0,11.9,13.45,24,-10400,457600
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,21.35,155.0,173.9,185.0,0.0,0.0,0.0,13.8,0,0,39000
DLF,2019-05-06,2019-05-30,2600,91000,1,19.15,19.15,19.15,19.15,160.0,173.9,130.0,0.0,0.0,0.0,0.4,0,0,2600
DLF,2019-05-06,2019-05-30,0,13000,0,0.0,0.0,0.0,18.5,165.0,173.9,135.0,0.75,0.75,0.7,0.7,3,2600,7800
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,43.45,125.0,173.9,140.0,1.0,1.35,0.95,1.3,55,111800,122200
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,39.2,130.0,173.9,145.0,1.55,1.55,1.55,1.55,2,0,2600
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,35.15,135.0,173.9,150.0,2.25,2.6,1.9,2.5,226,44200,403000
DLF,2019-05-06,2019-05-30,0,5200,0,0.0,0.0,0.0,40.0,140.0,173.9,155.0,3.0,3.5,2.75,3.5,12,-7800,75400
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,27.75,145.0,173.9,100.0,0.0,0.0,0.0,0.1,0,0,0
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,66.7,100.0,173.9,105.0,0.0,0.0,0.0,0.2,0,0,0
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,61.85,105.0,173.9,110.0,0.0,0.0,0.0,0.35,0,0,0
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,57.1,110.0,173.9,115.0,0.0,0.0,0.0,0.6,0,0,0
DLF,2019-05-06,2019-05-30,0,0,0,0.0,0.0,0.0,52.45,115.0,173.9,120.0,0.0,0.0,0.0,0.95,0,0,0
DLF,2019-05-06,2019-05-30,5200,182000,56,1.1,1.2,0.8,0.9,220.0,173.9,220.0,0.0,0.0,0.0,41.75,0,0,41600
DLF,2019-05-07,2019-05-30,0,0,0,0.0,0.0,0.0,0.85,245.0,169.6,245.0,0.0,0.0,0.0,64.0,0,0,2600
DLF,2019-05-07,2019-05-30,0,0,0,0.0,0.0,0.0,47.85,120.0,169.6,120.0,0.0,0.0,0.0,0.95,0,0,0
DLF,2019-05-07,2019-05-30,0,10400,0,0.0,0.0,0.0,0.7,225.0,169.6,225.0,0.0,0.0,0.0,58.05,0,0,0
DLF,2019-05-07,2019-05-30,7800,153400,9,0.5,0.5,0.35,0.35,230.0,169.6,230.0,0.0,0.0,0.0,52.5,0,0,10400
DLF,2019-05-07,2019-05-30,0,0,0,0.0,0.0,0.0,1.75,235.0,169.6,235.0,0.0,0.0,0.0,57.0,0,0,7800
DLF,2019-05-07,2019-05-30,0,109200,0,0.0,0.0,0.0,0.35,240.0,169.6,240.0,0.0,0.0,0.0,62.0,0,0,10400
DLF,2019-05-07,2019-05-30,-15600,223600,95,4.2,4.3,2.6,2.7,195.0,169.6,190.0,20.3,23.0,20.3,23.0,12,-13000,301600
DLF,2019-05-07,2019-05-30,-49400,1029600,312,3.2,3.3,1.9,2.15,200.0,169.6,195.0,26.45,26.45,26.45,26.45,1,2600,20800
DLF,2019-05-07,2019-05-30,0,57200,20,2.45,2.45,1.5,1.6,205.0,169.6,200.0,30.55,30.55,30.55,30.55,2,0,171600
DLF,2019-05-07,2019-05-30,0,478400,116,1.8,1.8,1.0,1.15,210.0,169.6,205.0,0.0,0.0,0.0,30.0,0,0,2600
DLF,2019-05-07,2019-05-30,2600,49400,6,1.0,1.0,0.55,0.75,215.0,169.6,210.0,0.0,0.0,0.0,33.75,0,0,5200
DLF,2019-05-07,2019-05-30,10400,179400,58,12.8,12.8,10.0,10.55,170.0,169.6,215.0,0.0,0.0,0.0,36.35,0,0,5200
DLF,2019-05-07,2019-05-30,148200,452400,204,11.25,11.4,7.85,8.45,175.0,169.6,160.0,4.25,6.3,4.15,5.8,571,-184600,507000
DLF,2019-05-07,2019-05-30,23400,943800,640,8.65,9.2,6.0,6.45,180.0,169.6,165.0,6.1,8.1,5.95,7.9,248,-106600,286000
DLF,2019-05-07,2019-05-30,-23400,416000,203,7.15,7.2,4.6,4.9,185.0,169.6,170.0,7.65,10.7,7.45,10.25,401,-31200,351000
DLF,2019-05-07,2019-05-30,-18200,1549600,601,5.6,5.65,3.45,3.8,190.0,169.6,175.0,9.85,13.4,9.8,13.0,166,-31200,244400
DLF,2019-05-07,2019-05-30,5200,26000,3,26.35,26.35,25.25,25.25,150.0,169.6,180.0,12.75,16.25,12.75,15.7,43,-23400,434200
DLF,2019-05-07,2019-05-30,5200,5200,2,19.85,19.85,19.0,19.0,155.0,169.6,185.0,0.0,0.0,0.0,13.8,0,0,39000
DLF,2019-05-07,2019-05-30,-5200,85800,7,18.8,18.8,17.35,18.25,160.0,169.6,125.0,0.0,0.0,0.0,1.45,0,0,0
DLF,2019-05-07,2019-05-30,7800,20800,7,15.2,15.2,13.0,13.4,165.0,169.6,130.0,0.0,0.0,0.0,0.4,0,0,2600
DLF,2019-05-07,2019-05-30,0,0,0,0.0,0.0,0.0,43.45,125.0,169.6,135.0,0.65,1.15,0.65,1.1,32,62400,70200
DLF,2019-05-07,2019-05-30,0,0,0,0.0,0.0,0.0,39.2,130.0,169.6,140.0,1.1,1.65,1.0,1.6,77,-2600,119600
